# filename                                	chi2	rotation
# Best matches (according to MCMC):
FBconst/HH48S3A0B90G0initgrid.kappa.fits	  5.0464	225.07
AGNT8/HH91S1A0B0G90initgrid.kappa.fits  	  5.4677	198.88
FBconst/HH19S1A0B90G0initgrid.kappa.fits	  5.4905	218.24
FBconst/HH313S0A0B0G90initgrid.kappa.fits	  5.5237	  1.31
AGNT8/HH126S0A90B0G0initgrid.kappa.fits 	  5.5413	234.50
AGNT8/HH55S1A0B0G90initgrid.kappa.fits  	  5.5449	193.21
FBconst/HH19S1A90B0G0initgrid.kappa.fits	  5.5618	241.31
FBconst/HH40S2A90B0G0initgrid.kappa.fits	  5.5661	193.17
AGNT8/HH9S1A0B0G90initgrid.kappa.fits   	  5.5857	147.42
FBconst/HH16S5A0B90G0initgrid.kappa.fits	  5.5880	225.04
AGNT8/HH193S0A0B0G90initgrid.kappa.fits 	  5.5957	259.09
FBconst/HH146S0A0B0G90initgrid.kappa.fits	  5.6499	190.85
AGNT8/HH190S0A0B0G90initgrid.kappa.fits 	  5.6566	270.51
FBconst/HH40S1A90B0G0initgrid.kappa.fits	  5.6625	220.26
FBconst/HH55S1A0B90G0initgrid.kappa.fits	  5.6933	 52.51
FBconst/HH176S0A90B0G0initgrid.kappa.fits	  5.7003	193.38
FBconst/HH38S1A0B0G90initgrid.kappa.fits	  5.7035	 67.01
FBconst/HH34S1A90B0G0initgrid.kappa.fits	  5.7058	219.25
AGNT8/HH8S1A0B90G0initgrid.kappa.fits   	  5.7095	267.68
FBconst/HH7S2A0B90G0initgrid.kappa.fits 	  5.7180	201.05
AGNT8/HH75S0A90B0G0initgrid.kappa.fits  	  5.7380	259.08
AGNT8/HH8S1A90B0G0initgrid.kappa.fits   	  5.7573	 95.23
AGNT8/HH91S1A0B90G0initgrid.kappa.fits  	  5.7628	219.09
AGNT8/HH5S0A0B90G0initgrid.kappa.fits   	  5.7749	218.76
AGNT8/HH1S2A0B0G90initgrid.kappa.fits   	  5.7751	224.05
FBconst/HH5S3A0B0G90initgrid.kappa.fits 	  5.8114	255.02
AGNT8/HH10S1A0B90G0initgrid.kappa.fits  	  5.8182	 89.39
FBconst/HH193S0A0B0G90initgrid.kappa.fits	  5.8386	219.60
