# filename                                	chi2	rotation
# Best matches (according to MCMC):
AGNT8/HH1S9A0B0G90initgrid.kappa.fits   	  1.2318	358.69
AGNT8/HH55S1A0B90G0initgrid.kappa.fits  	  1.2481	358.86
FBconst/HH12S0A0B0G90initgrid.kappa.fits	  1.2623	  0.99
AGNT8/HH44S0A0B0G90initgrid.kappa.fits  	  1.2643	  0.96
AGNT8/HH1S7A0B90G0initgrid.kappa.fits   	  1.2948	358.83
AGNT8/HH16S1A0B0G90initgrid.kappa.fits  	  1.2963	  0.92
FBconst/HH217S0A0B90G0initgrid.kappa.fits	  1.3049	  0.96
FBconst/HH45S2A0B0G90initgrid.kappa.fits	  1.3106	358.81
AGNT8/HH163S0A0B0G90initgrid.kappa.fits 	  1.3173	  1.11
AGNT8/HH20S0A0B90G0initgrid.kappa.fits  	  1.3241	  1.22
AGNT8/HH64S0A0B90G0initgrid.kappa.fits  	  1.3249	358.04
FBconst/HH1S16A0B90G0initgrid.kappa.fits	  1.3396	358.92
AGNT8/HH121S0A0B0G90initgrid.kappa.fits 	  1.3521	358.56
AGNT8/HH221S0A0B90G0initgrid.kappa.fits 	  1.3554	  0.91
FBconst/HH127S0A0B90G0initgrid.kappa.fits	  1.3609	  0.92
FBconst/HH14S0A90B0G0initgrid.kappa.fits	  1.3617	  0.91
FBconst/HH1S4A0B0G90initgrid.kappa.fits 	  1.3867	358.82
AGNT8/HH82S0A0B90G0initgrid.kappa.fits  	  1.3894	358.55
FBconst/HH313S0A0B90G0initgrid.kappa.fits	  1.3905	358.91
AGNT8/HH83S0A0B0G90initgrid.kappa.fits  	  1.3913	358.89
AGNT8/HH55S1A90B0G0initgrid.kappa.fits  	  1.3976	  0.78
AGNT8/HH244S0A0B90G0initgrid.kappa.fits 	  1.4080	  0.92
FBconst/HH254S0A0B0G90initgrid.kappa.fits	  1.4132	344.86
FBconst/HH104S0A0B0G90initgrid.kappa.fits	  1.4147	  0.93
FBconst/HH44S1A0B90G0initgrid.kappa.fits	  1.4183	345.23
AGNT8/HH39S0A0B0G90initgrid.kappa.fits  	  1.4366	358.57
FBconst/HH152S0A0B90G0initgrid.kappa.fits	  1.4371	358.55
AGNT8/HH244S0A90B0G0initgrid.kappa.fits 	  1.4382	358.62
FBconst/HH228S0A90B0G0initgrid.kappa.fits	  1.4409	358.82
FBconst/HH15S1A90B0G0initgrid.kappa.fits	  1.4567	358.75
FBconst/HH49S0A0B90G0initgrid.kappa.fits	  1.4593	  1.10
AGNT8/HH46S1A0B90G0initgrid.kappa.fits  	  1.4607	  0.95
FBconst/HH120S0A0B90G0initgrid.kappa.fits	  1.4651	358.49
FBconst/HH64S1A90B0G0initgrid.kappa.fits	  1.4669	358.56
AGNT8/HH1S2A90B0G0initgrid.kappa.fits   	  1.4684	358.53
FBconst/HH45S2A0B90G0initgrid.kappa.fits	  1.4736	  0.91
AGNT8/HH148S0A90B0G0initgrid.kappa.fits 	  1.4798	  0.91
AGNT8/HH190S0A0B90G0initgrid.kappa.fits 	  1.4816	  0.93
AGNT8/HH90S0A0B0G90initgrid.kappa.fits  	  1.4968	358.72
AGNT8/HH69S0A0B0G90initgrid.kappa.fits  	  1.5009	358.76
AGNT8/HH39S0A0B90G0initgrid.kappa.fits  	  1.5052	  0.93
FBconst/HH1S11A0B0G90initgrid.kappa.fits	  1.5212	327.39
AGNT8/HH210S0A0B90G0initgrid.kappa.fits 	  1.5296	358.83
FBconst/HH5S0A0B0G90initgrid.kappa.fits 	  1.5304	  0.88
AGNT8/HH82S0A0B0G90initgrid.kappa.fits  	  1.5310	358.60
AGNT8/HH139S0A0B90G0initgrid.kappa.fits 	  1.5342	358.76
FBconst/HH24S0A90B0G0initgrid.kappa.fits	  1.5400	  1.11
