# filename                                	chi2	rotation
# Best matches (according to MCMC):
AGNT8/HH41S1A0B90G0initgrid.kappa.fits  	  1.5461	  1.00
FBconst/HH14S1A0B0G90initgrid.kappa.fits	  1.5478	324.35
AGNT8/HH187S0A0B90G0initgrid.kappa.fits 	  1.5584	345.63
FBconst/HH351S0A0B0G90initgrid.kappa.fits	  1.5598	358.42
#
# Best matches (according to chi2):
FBconst/HH351S0A0B90G0initgrid.kappa.fits	  1.2058	330.52
FBconst/HH52S0A90B0G0initgrid.kappa.fits	  1.2804	205.76
FBconst/HH65S0A90B0G0initgrid.kappa.fits	  1.3040	334.53
FBconst/HH203S0A0B90G0initgrid.kappa.fits	  1.4528	210.05
FBconst/HH7S5A0B0G90initgrid.kappa.fits 	  1.4766	 16.58
FBconst/HH317S0A0B90G0initgrid.kappa.fits	  1.4986	307.76
FBconst/HH13S1A0B90G0initgrid.kappa.fits	  1.5052	145.80
AGNT8/HH97S0A90B0G0initgrid.kappa.fits  	  1.5490	343.30
FBconst/HH52S0A0B90G0initgrid.kappa.fits	  1.6230	254.85
FBconst/HH65S0A0B0G90initgrid.kappa.fits	  1.6274	 35.86
FBconst/HH56S0A90B0G0initgrid.kappa.fits	  1.6712	317.30
AGNT8/HH46S1A90B0G0initgrid.kappa.fits  	  1.6936	357.27
FBconst/HH53S0A0B0G90initgrid.kappa.fits	  1.6984	358.95
FBconst/HH13S1A0B0G90initgrid.kappa.fits	  1.7252	120.34
FBconst/HH65S0A0B90G0initgrid.kappa.fits	  1.8342	223.07
FBconst/HH204S0A0B90G0initgrid.kappa.fits	  1.8512	  1.18
FBconst/HH1S14A0B0G90initgrid.kappa.fits	  1.8568	  1.58
FBconst/HH13S0A0B90G0initgrid.kappa.fits	  1.8608	144.11
FBconst/HH135S0A0B90G0initgrid.kappa.fits	  1.8664	 70.70
FBconst/HH31S0A0B0G90initgrid.kappa.fits	  1.8776	358.78
FBconst/HH205S0A0B90G0initgrid.kappa.fits	  1.8778	 26.59
FBconst/HH1085S0A0B90G0initgrid.kappa.fits	  1.8782	171.94
FBconst/HH217S0A90B0G0initgrid.kappa.fits	  1.8844	342.59
AGNT8/HH3S1A0B90G0initgrid.kappa.fits   	  1.8962	315.32
FBconst/HH351S0A90B0G0initgrid.kappa.fits	  1.9038	111.75
FBconst/HH135S0A90B0G0initgrid.kappa.fits	  1.9040	156.66
FBconst/HH128S0A0B90G0initgrid.kappa.fits	  1.9094	358.90
FBconst/HH204S0A90B0G0initgrid.kappa.fits	  1.9268	127.01
FBconst/HH204S0A0B0G90initgrid.kappa.fits	  1.9296	349.43
FBconst/HH228S0A0B0G90initgrid.kappa.fits	  1.9338	312.88
FBconst/HH44S1A90B0G0initgrid.kappa.fits	  1.9980	349.55
FBconst/HH205S0A90B0G0initgrid.kappa.fits	  2.0144	159.34
FBconst/HH2S0A0B0G90initgrid.kappa.fits 	  2.0172	358.50
AGNT8/HH47S0A0B0G90initgrid.kappa.fits  	  2.0578	283.98
AGNT8/HH63S1A90B0G0initgrid.kappa.fits  	  2.0600	349.41
FBconst/HH7S5A0B90G0initgrid.kappa.fits 	  2.0838	359.09
FBconst/HH116S0A0B90G0initgrid.kappa.fits	  2.0908	357.38
FBconst/HH13S1A90B0G0initgrid.kappa.fits	  2.1084	 96.66
FBconst/HH1S16A90B0G0initgrid.kappa.fits	  2.1100	334.27
FBconst/HH29S0A0B90G0initgrid.kappa.fits	  2.1188	 23.84
FBconst/HH178S0A0B90G0initgrid.kappa.fits	  2.1372	146.61
FBconst/HH5S2A90B0G0initgrid.kappa.fits 	  2.1376	 47.92
AGNT8/HH15S0A0B0G90initgrid.kappa.fits  	  2.1390	  1.11
FBconst/HH13S0A90B0G0initgrid.kappa.fits	  2.1522	  2.89
FBconst/HH16S0A0B90G0initgrid.kappa.fits	  2.1874	137.40
FBconst/HH150S0A0B90G0initgrid.kappa.fits	  2.1996	 65.19
FBconst/HH1S1A0B90G0initgrid.kappa.fits 	  2.2036	317.48
AGNT8/HH95S0A0B0G90initgrid.kappa.fits  	  2.2050	218.86
FBconst/HH205S0A0B0G90initgrid.kappa.fits	  2.2106	310.71
AGNT8/HH196S0A0B0G90initgrid.kappa.fits 	  2.2128	358.68
FBconst/HH16S0A90B0G0initgrid.kappa.fits	  2.2132	300.32
