# filename                                	chi2	rotation
# Best matches (according to MCMC):
FBconst/HH30S1A90B0G0initgrid.kappa.fits	  2.5992	 74.28
AGNT8/HH94S0A0B0G90initgrid.kappa.fits  	  2.6006	137.16
FBconst/HH226S0A90B0G0initgrid.kappa.fits	  2.6192	293.49
FBconst/HH245S0A0B90G0initgrid.kappa.fits	  2.6274	177.67
FBconst/HH5S0A0B90G0initgrid.kappa.fits 	  2.6818	313.40
FBconst/HH36S2A90B0G0initgrid.kappa.fits	  2.6952	124.23
FBconst/HH21S1A90B0G0initgrid.kappa.fits	  2.7006	177.05
FBconst/HH34S0A0B0G90initgrid.kappa.fits	  2.7070	 16.81
FBconst/HH11S0A0B0G90initgrid.kappa.fits	  2.7240	  1.40
FBconst/HH26S0A90B0G0initgrid.kappa.fits	  2.7248	102.04
FBconst/HH23S0A0B0G90initgrid.kappa.fits	  2.7476	137.11
FBconst/HH33S0A0B90G0initgrid.kappa.fits	  2.7488	296.51
FBconst/HH59S1A0B0G90initgrid.kappa.fits	  2.7542	190.30
FBconst/HH16S5A0B0G90initgrid.kappa.fits	  2.7666	358.89
FBconst/HH3S0A0B0G90initgrid.kappa.fits 	  2.7672	251.09
FBconst/HH14S0A0B0G90initgrid.kappa.fits	  2.7874	240.62
FBconst/HH1S7A90B0G0initgrid.kappa.fits 	  2.8034	263.72
FBconst/HH76S0A0B90G0initgrid.kappa.fits	  2.8882	 95.47
FBconst/HH30S1A0B90G0initgrid.kappa.fits	  2.8896	120.16
AGNT8/HH9S3A0B0G90initgrid.kappa.fits   	  2.9100	211.03
FBconst/HH16S5A90B0G0initgrid.kappa.fits	  2.9162	358.79
FBconst/HH215S0A90B0G0initgrid.kappa.fits	  2.9262	358.68
